ProfitCentre,CostCentre,ShortDescription,LongDescription
P100027032,C100027032,BAR EWH CTA,Barrie - Electric WH - RMR
P100027033,C100027033,BAR EWH CTS,Barrie - Electric WH Ops     
P100027034,C100027034,BAR RHVACINSTEXP,Barrie - RHVAC Install Expense
P100027035,C100027035,BAR SHSALE CTS,Barrie - SH Sales - Ops
P100027036,C100027036,BAR RENTSH CTA,Barrie - SH Rental Service - RMR
P100027037,C100027037,BAR COM WHSALE CTS,Barrie - Comm WH Sales Ops
P100027038,C100027038,BAR COM HVACCOD CTS,Barrie - Comm HVAC COD Ops
P100027039,C100027039,BAR COMM CTA,Barrie - Rental Commercial - RMR
P100027040,C100027040,BAR COMM CTS,Barrie - Rental Commercial - Ops
P100027041,C100027041,BAR COM MO CTS,Barrie Comm Maint Prot - Ops
P100027042,C100027042,BAR COM RHVAC CTA,Barrie - Comm RHVAC RMR
P100027043,C100027043,BAR COM RHVAC CTS,Barrie - Comm RHVAC OPS
P100027044,C100027044,BAR COMHVACSALE CTA,Barrie - Comm HVAC Sales
P100027045,C100027045,BAR COMHVACSALE CTS,Barrie - Comm HVAC Sales Ops
P100027046,C100027046,BAR PLCOD CTA,Barrie - Res Plumb COD Sales
P100027047,C100027047,BAR PLCOD CTS,Barrie - Res Plumb COD Ops
P100027048,C100027048,BAR PLCPP CTA,Barrie - Res Plumb CPP RMR
P100027049,C100027049,BAR PLCPP CTS,Barrie - Res Plumb CPP Ops
P100027050,C100027050,BAR RELEXP CTA,Barrie - Reliance Express - RMR
P100027051,C100027051,BAR RELEXP CTS,Barrie - Reliance Express - Ops
P100027052,C100027052,BAR RFURN CAP,Barrie - Rent Furnace Cap Costs
P100027053,C100027053,BAR EWH CAP,Barrie - EWH - Cap
P100027054,C100027054,BAR WS CAP,Barrie - RW Softener Cap Insta
P100027055,C100027055,BAR SH CAP,Barrie - SH - Cap
P100027056,C100027056,BAR SHCOD CTA,Barrie - SH COD - Sales
P100027057,C100027057,BAR SHCOD CTS,Barrie - SH COD - Ops
P100027058,C100027058,BAR SHSALE CTA,Barrie - SH Sales - Sales
P100027059,C100027059,BAR SHCPP CTA,Barrie - SH CPP - Sales
P100027060,C100027060,BAR SHCPP CTS,Barrie - SH CPP - Ops
P100027061,C100027061,BAR RENTSH CTS,Barrie - SH Rental Service - Ops
P100027062,C100027062,BAR COM WPSALE CTA,Barrie - Comm WP Sales - Sales
P100027063,C100027063,BAR COM WPSALE CTS,Barrie - Comm WP Sales - Ops
P100027064,C100027064,BAR COM WHSALE CTA,Barrie - Comm WH Sales
P100027065,C100027065,BAR COM HVACCOD CTA,Barrie - Comm HVAC COD Sales
P100027066,C100027066,BAR COM MO CTA,Barrie Comm Maint Prot - Sales
P100027067,C100027067,BAR COM CPP CTA,Barrie - Comm CPP RMR
P100027068,C100027068,BAR COM CPP CTS,Barrie - Comm CPP Ops
P100027069,C100027069,BAR COM PROJ CTA,Barrie Comm Projects - Sales
P100027070,C100027070,BAR COM PROJ CTS,Barrie - Commercial Projects - Ops
P100027071,C100027071,BAR COMM CAP,Barrie - R-Comm-Cap Costs
P100027072,C100027072,BAR COMMRHVAC CAP,Barrie - RHVAC-Comm-Cap Costs
P100027073,C100027073,BAR PLRNC CTA,Barrie - Plumbing New Const- Sales
P100027074,C100027074,BAR PLRNC CTS,Barrie - Plumbing New Const- Ops
P100027075,C100027075,BAR AH CAP,Barrie - Rent Air Handler - Cap
P100027077,C100027077,BAR COM PLCOD CTA,Barrie - Comm Plumbing COD Sales
P100027078,C100027078,BAR COM PLCOD CTS,Barrie - Comm Plumbing COD Ops
P100027079,C100027079,BAR DWHR CAP,Barrie - DWHR - Cap
P100027080,C100027080,BAR RSPEC CAP,Barrie Rent Special Cap
P100027081,C100027081,BAR CPPSALE CTS,Barrie - Hem.-R-Ser-HPP - Ops
P100027082,C100027082,BAR CPPSALE CTA,Barrie - Hem.-R-Ser-HPP - Sales
P100027083,C100027083,BAR EW CTA,Barrie - In-House Ext.Warr - Sales
P100028000,C100028000,SSM FSM AR / OH,SSM - FSM AR / OH only
P100028001,C100028001,SSM WPSALES CTS,SSM Res Water Pur Sales - Ops
P100028002,C100028002,SSM WP CTA,SSM Res Water Pur Rental - RMR
P100028003,C100028003,SSM WP CTS,SSM Res Water Pur Rental - Ops
P100028004,C100028004,SSM HVACCOD CTS,SSM - HVAC COD - Ops
P100028005,C100028005,SSM VRPL CTA,SSM - Vent Replacement - Sales
P100028006,C100028006,SSM VRPL CTS,SSM - Vent Replacement - Ops
P100028007,C100028007,SSM FSM WH,SSM - FSM WH inventory only
P100028008,C100028008,SSM RWH CTA,SSM - Residential WH - RMR
P100028009,C100028009,SSM RWH CTS,SSM - Residential WH - Ops
P100028010,C100028010,SSM HVACCPP CTA,SSM - Residential HVAC CPP - RMR
P100028011,C100028011,SSM HVACCPP CTS,SSM - Residential HVAC CPP - Ops
P100028012,C100028012,SSM RHVAC CTA,SSM - Residential Rental HVAC - RMR
P100028013,C100028013,SSM RHVAC CTS,SSM - Residential Rental HVAC - Ops
P100028014,C100028014,SSM EW CTS,SSM - In-House Ext.Warr - Ops
P100028015,C100028015,SSM FSM HVAC,SSM - FSM HVAC inventory only
P100028016,C100028016,SSM HVACSALE CTA,SSM - Residential HVAC Sales - Sales
P100028017,C100028017,SSM HVACSALE CTS,SSM - Residential HVAC Sales - Ops
P100028018,C100028018,SSM TANKLESS CAP,SSM - Tankless Waterheaters
P100028019,C100028019,SSM ELECCPP CTA,SSM - Res Electric CPP - RMR
P100028020,C100028020,SSM ELECCPP CTS,SSM - Res Electric CPP - Ops
P100028021,C100028021,SSM EWH CTA,SSM - Electric WH - RMR
P100028022,C100028022,SSM EWH CTS,SSM - Electric WH Ops     
P100028023,C100028023,SSM RHVACINSTEXP,SSM - RHVAC Install Expense
P100028024,C100028024,SSM SHSALE CTS,SSM - SH Sales - Ops
P100028025,C100028025,SSM COM HVACCOD CTS,SSM - Comm HVAC COD Ops
P100028026,C100028026,SSM COMM CTA,SSM - Rental Commercial - RMR
P100028027,C100028027,SSM COMM CTS,SSM - Rental Commercial - Ops
P100028028,C100028028,SSM COM RHVAC CTA,SSM - Comm RHVAC RMR
P100028029,C100028029,SSM COM RHVAC CTS,SSM - Comm RHVAC OPS
P100028030,C100028030,SSM COMHVACSALE CTS,SSM - Comm HVAC Sales Ops
P100028031,C100028031,SSM PLCOD CTS,SSM - Res Plumb COD Ops
P100028032,C100028032,SSM PLCPP CTA,SSM - Res Plumb CPP RMR
P100028033,C100028033,SSM PLCPP CTS,SSM - Res Plumb CPP Ops
P100028034,C100028034,SSM RELEXP CTA,SSM - Reliance Express - RMR
P100028035,C100028035,SSM ELECCOD CTA,SSM - Res Elec COD - Sales
P100028036,C100028036,SSM ELECCOD CTS,SSM - Res Elec COD -Ops
P100028037,C100028037,SSM WPSALES CTA,SSM Res Water Pur Sales - Sales
P100028038,C100028038,SSM WHSALES CTA,SSM - Res WH Sales - Sales
P100028039,C100028039,SSM WHSALES CTS,SSM - Res WH Sales - Ops
P100028040,C100028040,SSM HVACCOD CTA,SSM - HVAC COD - Sales
P100028041,C100028041,SSM GEOTHERM CTA,SSM - Geothermal - Sales
P100028042,C100028042,SSM GEOTERM CTS,SSM - Geothermal - Ops
P100028043,C100028043,SSM RWH CAP,SSM - Rent WH Capital Install Cost
P100028044,C100028044,SSM RFURN CAP,SSM - Rent Furnace Cap Costs
P100028045,C100028045,SSM EWH CAP,SSM - EWH - Cap
P100028046,C100028046,SSM WS CAP,SSM - RW Softener Cap Insta
P100028047,C100028047,SSM SH CAP,SSM - SH - Cap
P100028048,C100028048,SSM SHCOD CTA,SSM - SH COD - Sales
P100028049,C100028049,SSM SHCOD CTS,SSM - SH COD - Ops
P100028050,C100028050,SSM SHSALE CTA,SSM - SH Sales - Sales
P100028051,C100028051,SSM SHCPP CTA,SSM - SH CPP - Sales
P100028052,C100028052,SSM SHCPP CTS,SSM - SH CPP - Ops
P100028053,C100028053,SSM RENTSH CTA,SSM - SH Rental Service - RMR
P100028054,C100028054,SSM RENTSH CTS,SSM - SH Rental Service - Ops
P100028055,C100028055,SSM COM WPSALE CTA,SSM - Comm WP Sales - Sales
P100028056,C100028056,SSM COM WPSALE CTS,SSM - Comm WP Sales - Ops
P100028057,C100028057,SSM COM WHSALE CTA,SSM - Comm WH Sales
P100028058,C100028058,SSM COM WHSALE CTS,SSM - Comm WH Sales Ops
P100028059,C100028059,SSM COM HVACCOD CTA,SSM - Comm HVAC COD Sales
P100028060,C100028060,SSM COM MO CTA,SSM Comm Maint Prot - Sales
P100028061,C100028061,SSM COM MO CTS,SSM Comm Maint Prot - Ops
P100028062,C100028062,SSM COM CPP CTA,SSM - Comm CPP RMR
P100028063,C100028063,SSM COM CPP CTS,SSM - Comm CPP Ops
P100028064,C100028064,SSM COMHVACSALE CTA,SSM - Comm HVAC Sales
P100028065,C100028065,SSM COM PROJ CTA,SSM Comm Projects - Sales
P100028066,C100028066,SSM COM PROJ CTS,SSM - Commercial Projects - Ops
P100028067,C100028067,SSM COMM CAP,SSM - R-Comm-Cap Costs
P100028068,C100028068,SSM COMMRHVAC CAP,SSM - RHVAC-Comm-Cap Costs
P100028069,C100028069,SSM PLCOD CTA,SSM - Res Plumb COD Sales
P100028070,C100028070,SSM PLRNC CTA,SSM - Plumbing New Const- Sales
P100028071,C100028071,SSM PLRNC CTS,SSM - Plumbing New Const- Ops
P100028072,C100028072,SSM AH CAP,SSM - Rent Air Handler - Cap
P100028073,C100028073,SSM DWHR CAP,SSM - DWHR - Cap
P100028075,C100028075,SSM COM PLCOD CTA,SSM - Comm Plumbing COD Sales
P100028076,C100028076,SSM COM PLCOD CTS,SSM - Comm Plumbing COD Ops
P100028077,C100028077,SSM RSPEC CAP,SSM Rent Special Cap
P100028078,C100028078,SSM CPPSALE CTS,SSM - Hem.-R-Ser-HPP - Ops
P100028079,C100028079,SSM CPPSALE CTA,SSM - Hem.-R-Ser-HPP - Sales
P100028080,C100028080,SSM EW CTA,SSM - In-House Ext.Warr - Sales
P100028081,C100028081,SSM RNC CTS,SSM - New Home Const - Ops
P100028082,C100028082,SSM RNC CTA,SSM - New Home Const - Sales
P100028083,C100028083,SSM RELEXP CTS,SSM - Reliance Express - Ops
P100029000,C100029000,CAL FSM AR / OH,Calgary - FSM AR / OH only
P100029001,C100029001,CAL ELECCOD CTS,Calgary - Res Elec COD -Ops
P100029002,C100029002,CAL WPSALES CTS,Calgary Res Water Pur Sales - Ops
P100029003,C100029003,CAL WP CTA,Calgary Res Water Pur Rental - RMR
P100029004,C100029004,CAL WP CTS,Calgary Res Water Pur Rental - Ops
P100029005,C100029005,CAL WHSALES CTA,Calgary - Res WH Sales - Sales
P100029006,C100029006,CAL WHSALES CTS,Calgary - Res WH Sales - Ops
P100029007,C100029007,CAL HVACCOD CTA,Calgary - HVAC COD - Sales
P100029008,C100029008,CAL HVACCOD CTS,Calgary - HVAC COD - Ops
P100029009,C100029009,CAL VRPL CTS,Calgary - Vent Replacement - Ops
P100029010,C100029010,CAL FSM WH,Calgary - FSM WH inventory only
P100029011,C100029011,CAL RWH CTA,Calgary - Residential WH - RMR
P100029012,C100029012,CAL RWH CTS,Calgary - Residential WH - Ops
P100029013,C100029013,CAL HVACCPP CTA,Calgary - Residential HVAC CPP - RMR
P100029014,C100029014,CAL HVACCPP CTS,Calgary - Residential HVAC CPP - Ops
P100029015,C100029015,CAL RHVAC CTA,Calgary - Residential Rental HVAC - RMR
P100029016,C100029016,CAL RHVAC CTS,Calgary - Residential Rental HVAC - Ops
P100029017,C100029017,CAL EW CTS,Calgary - In-House Ext.Warr - Ops
P100029018,C100029018,CAL FSM HVAC,Calgary - FSM HVAC inventory only
P100029019,C100029019,CAL HVACSALE CTA,Calgary - Residential HVAC Sales - Sales
P100029020,C100029020,CAL HVACSALE CTS,Calgary - Residential HVAC Sales - Ops
P100029021,C100029021,CAL RFURN CAP,Calgary - Rent Furnace Cap Costs
P100029022,C100029022,CAL TANKLESS CAP,Calgary - Tankless Waterheaters
P100029023,C100029023,CAL ELECCPP CTA,Calgary - Res Electric CPP - RMR
P100029024,C100029024,CAL EWH CTA,Calgary - Electric WH - RMR
P100029025,C100029025,CAL EWH CTS,Calgary - Electric WH Ops     
P100029026,C100029026,CAL RHVACINSTEXP,Calgary - RHVAC Install Expense
P100029027,C100029027,CAL SHSALE CTS,Calgary - SH Sales - Ops
P100029028,C100029028,CAL COMM CTA,Calgary - Rental Commercial - RMR
P100029029,C100029029,CAL COMM CTS,Calgary - Rental Commercial - Ops
P100029030,C100029030,CAL PLCOD CTA,Calgary - Res Plumb COD Sales
P100029031,C100029031,CAL PLCOD CTS,Calgary - Res Plumb COD Ops
P100029032,C100029032,CAL PLCPP CTA,Calgary - Res Plumb CPP RMR
P100029033,C100029033,CAL PLCPP CTS,Calgary - Res Plumb CPP Ops
P100029034,C100029034,CAL ELECCOD CTA,Calgary - Res Elec COD - Sales
P100029035,C100029035,CAL WPSALES CTA,Calgary Res Water Pur Sales - Sales
P100029036,C100029036,CAL VRPL CTA,Calgary - Vent Replacement - Sales
P100029037,C100029037,CAL GEOTHERM CTA,Calgary - Geothermal - Sales
P100029038,C100029038,CAL GEOTERM CTS,Calgary - Geothermal - Ops
P100029039,C100029039,CAL RWH CAP,Calgary - Rent WH Capital Install Cost
P100029040,C100029040,CAL EWH CAP,Calgary - EWH - Cap
P100029041,C100029041,CAL WS CAP,Calgary - RW Softener Cap Insta
P100029042,C100029042,CAL SH CAP,Calgary - SH - Cap
P100029043,C100029043,CAL ELECCPP CTS,Calgary - Res Electric CPP - Ops
P100029044,C100029044,CAL SHCOD CTA,Calgary - SH COD - Sales
P100029045,C100029045,CAL SHCOD CTS,Calgary - SH COD - Ops
P100029046,C100029046,CAL SHSALE CTA,Calgary - SH Sales - Sales
P100029047,C100029047,CAL SHCPP CTA,Calgary - SH CPP - Sales
P100029048,C100029048,CAL SHCPP CTS,Calgary - SH CPP - Ops
P100029049,C100029049,CAL RENTSH CTA,Calgary - SH Rental Service - RMR
P100029050,C100029050,CAL RENTSH CTS,Calgary - SH Rental Service - Ops
P100029051,C100029051,CAL COM WPSALE CTA,Calgary - Comm WP Sales - Sales
P100029052,C100029052,CAL COM WPSALE CTS,Calgary - Comm WP Sales - Ops
P100029053,C100029053,CAL COM WHSALE CTA,Calgary - Comm WH Sales
P100029054,C100029054,CAL COM WHSALE CTS,Calgary - Comm WH Sales Ops
P100029055,C100029055,CAL COM HVACCOD CTA,Calgary - Comm HVAC COD Sales
P100029056,C100029056,CAL COM HVACCOD CTS,Calgary - Comm HVAC COD Ops
P100029057,C100029057,CAL COM MO CTA,Calgary Comm Maint Prot - Sales
P100029058,C100029058,CAL COM MO CTS,Calgary Comm Maint Prot - Ops
P100029059,C100029059,CAL COM CPP CTA,Calgary - Comm CPP RMR
P100029060,C100029060,CAL COM CPP CTS,Calgary - Comm CPP Ops
P100029061,C100029061,CAL COM RHVAC CTA,Calgary - Comm RHVAC RMR
P100029062,C100029062,CAL COM RHVAC CTS,Calgary - Comm RHVAC OPS
P100029063,C100029063,CAL COMHVACSALE CTA,Calgary - Comm HVAC Sales
P100029064,C100029064,CAL COMHVACSALE CTS,Calgary - Comm HVAC Sales Ops
P100029065,C100029065,CAL COM PROJ CTA,Calgary Comm Projects - Sales
P100029066,C100029066,CAL COM PROJ CTS,Calgary - Commercial Projects - Ops
P100029067,C100029067,CAL COMM CAP,Calgary - R-Comm-Cap Costs
P100029068,C100029068,CAL COMMRHVAC CAP,Calgary - RHVAC-Comm-Cap Costs
P100029069,C100029069,CAL PLRNC CTA,Calgary - Plumbing New Const- Sales
P100029070,C100029070,CAL PLRNC CTS,Calgary - Plumbing New Const- Ops
P100029071,C100029071,CAL RELEXP CTA,Calgary - Reliance Express - RMR
P100029073,C100029073,CAL COM PLCOD CTA,Calgary - Comm Plumbing COD Sales
P100029074,C100029074,CAL COM PLCOD CTS,Calgary - Comm Plumbing COD Ops
P100029075,C100029075,CAL DWHR CAP,Calgary - DWHR - Cap
P100029076,C100029076,CAL RSPEC CAP,Calgary Rent Special Cap
P100029077,C100029077,CAL CPPSALE CTS,Calgary - Hem.-R-Ser-HPP - Ops
P100029078,C100029078,CAL CPPSALE CTA,Calgary - Hem.-R-Ser-HPP - Sales
P100029079,C100029079,CAL EW CTA,Calgary - In-House Ext.Warr - Sales
P100029080,C100029080,CAL RNC CTS,Calgary - New Home Const - Ops
P100029081,C100029081,CAL RNC CTA,Calgary - New Home Const - Sales
P100029082,C100029082,CAL RELEXP CTS,Calgary - Reliance Express - Ops
P100029083,C100029083,CAL AH CAP,Calgary - Rent Air Handler - Cap
P100030000,C100030000,EDM FSM AR / OH,Edmonton - FSM AR / OH only
P100030001,C100030001,EDM ELECCOD CTA,Edmonton - Res Elec COD - Sales
P100030002,C100030002,EDM ELECCOD CTS,Edmonton - Res Elec COD -Ops
P100030003,C100030003,EDM WPSALES CTS,Edmonton Res Water Pur Sales - Ops
P100030004,C100030004,EDM WP CTA,Edmonton Res Water Pur Rental - RMR
P100030005,C100030005,EDM WP CTS,Edmonton Res Water Pur Rental - Ops
P100030006,C100030006,EDM WHSALES CTA,Edmonton - Res WH Sales - Sales
P100030007,C100030007,EDM WHSALES CTS,Edmonton - Res WH Sales - Ops
P100030008,C100030008,EDM HVACCOD CTA,Edmonton - HVAC COD - Sales
P100030009,C100030009,EDM HVACCOD CTS,Edmonton - HVAC COD - Ops
P100030010,C100030010,EDM VRPL CTS,Edmonton - Vent Replacement - Ops
P100030011,C100030011,EDM FSM WH,Edmonton - FSM WH inventory only
P100030012,C100030012,EDM RWH CTA,Edmonton - Residential WH - RMR
P100030013,C100030013,EDM RWH CTS,Edmonton - Residential WH - Ops
P100030014,C100030014,EDM HVACCPP CTA,Edmonton - Residential HVAC CPP - RMR
P100030015,C100030015,EDM HVACCPP CTS,Edmonton - Residential HVAC CPP - Ops
P100030016,C100030016,EDM RHVAC CTA,Edmonton - Residential Rental HVAC - RMR
P100030017,C100030017,EDM RHVAC CTS,Edmonton - Residential Rental HVAC - Ops
P100030018,C100030018,EDM EW CTS,Edmonton - In-House Ext.Warr - Ops
P100030019,C100030019,EDM FSM HVAC,Edmonton - FSM HVAC inventory only
P100030020,C100030020,EDM HVACSALE CTA,Edmonton - Res HVAC Sales - Sales
P100030021,C100030021,EDM HVACSALE CTS,Edmonton - Residential HVAC Sales - Ops
P100030022,C100030022,EDM RWH CAP,Edmonton - Rent WH Capital Install Cost
P100030023,C100030023,EDM RFURN CAP,Edmonton - Rent Furnace Cap Costs
P100030024,C100030024,EDM TANKLESS CAP,Edmonton - Tankless Waterheaters
P100030025,C100030025,EDM ELECCPP CTA,Edmonton - Res Electric CPP - RMR
P100030026,C100030026,EDM ELECCPP CTS,Edmonton - Res Electric CPP - Ops
P100030027,C100030027,EDM EWH CTA,Edmonton - Electric WH - RMR
P100030028,C100030028,EDM EWH CTS,Edmonton - Electric WH Ops     
P100030029,C100030029,EDM RHVACINSTEXP,Edmonton - RHVAC Install Expense
P100030030,C100030030,EDM SHSALE CTS,Edmonton - SH Sales - Ops
P100030031,C100030031,EDM COM HVACCOD CTS,Edmonton - Comm HVAC COD Ops
P100030032,C100030032,EDM COMM CTA,Edmonton - Rental Commercial - RMR
P100030033,C100030033,EDM COMM CTS,Edmonton - Rental Commercial - Ops
P100030034,C100030034,EDM COMHVACSALE CTS,Edmonton - Comm HVAC Sales Ops
P100030035,C100030035,EDM PLCOD CTA,Edmonton - Res Plumb COD Sales
P100030036,C100030036,EDM PLCOD CTS,Edmonton - Res Plumb COD Ops
P100030037,C100030037,EDM PLCPP CTA,Edmonton - Res Plumb CPP RMR
P100030038,C100030038,EDM PLCPP CTS,Edmonton - Res Plumb CPP Ops
P100030039,C100030039,EDM RELEXP CTA,Edmonton - Reliance Express - RMR
P100030040,C100030040,EDM WPSALES CTA,Edmonton Res Water Pur Sales - Sales
P100030041,C100030041,EDM VRPL CTA,Edmonton - Vent Replacement - Sales
P100030042,C100030042,EDM RNC CTA,Edmonton - New Home Const - Sales
P100030043,C100030043,EDM RNC CTS,Edmonton - New Home Const - Ops
P100030044,C100030044,EDM GEOTHERM CTA,Edmonton - Geothermal - Sales
P100030045,C100030045,EDM GEOTERM CTS,Edmonton - Geothermal - Ops
P100030046,C100030046,EDM EWH CAP,Edmonton - EWH - Cap
P100030047,C100030047,EDM WS CAP,Edmonton - RW Softener Cap Insta
P100030048,C100030048,EDM SH CAP,Edmonton - SH - Cap
P100030049,C100030049,EDM SHCOD CTA,Edmonton - SH COD - Sales
P100030050,C100030050,EDM SHCOD CTS,Edmonton - SH COD - Ops
P100030051,C100030051,EDM SHSALE CTA,Edmonton - SH Sales - Sales
P100030052,C100030052,EDM SHCPP CTA,Edmonton - SH CPP - Sales
P100030053,C100030053,EDM SHCPP CTS,Edmonton - SH CPP - Ops
P100030054,C100030054,EDM RENTSH CTA,Edmonton - SH Rental Service - RMR
P100030055,C100030055,EDM RENTSH CTS,Edmonton - SH Rental Service - Ops
P100030056,C100030056,EDM COM WPSALE CTA,Edmonton - Comm WP Sales - Sales
P100030057,C100030057,EDM COM WPSALE CTS,Edmonton - Comm WP Sales - Ops
P100030058,C100030058,EDM COM WHSALE CTA,Edmonton - Comm WH Sales
P100030059,C100030059,EDM COM WHSALE CTS,Edmonton - Comm WH Sales Ops
P100030060,C100030060,EDM COM HVACCOD CTA,Edmonton - Comm HVAC COD Sales
P100030061,C100030061,EDM COM MO CTA,Edmonton Comm Maint Prot - Sales
P100030062,C100030062,EDM COM MO CTS,Edmonton Comm Maint Prot - Ops
P100030063,C100030063,EDM COM CPP CTA,Edmonton - Comm CPP RMR
P100030064,C100030064,EDM COM CPP CTS,Edmonton - Comm CPP Ops
P100030065,C100030065,EDM COM RHVAC CTA,Edmonton - Comm RHVAC RMR
P100030066,C100030066,EDM COM RHVAC CTS,Edmonton - Comm RHVAC OPS
P100030067,C100030067,EDM COMHVACSALE CTA,Edmonton - Comm HVAC Sales
P100030068,C100030068,EDM COM PROJ CTA,Edmonton Comm Projects - Sales
P100030069,C100030069,EDM COM PROJ CTS,Edmonton - Commercial Projects - Ops
P100030070,C100030070,EDM COMM CAP,Edmonton - R-Comm-Cap Costs
P100030071,C100030071,EDM COMMRHVAC CAP,Edmonton - RHVAC-Comm-Cap Costs
P100030072,C100030072,EDM PLRNC CTA,Edmonton - Plumbing New Const- Sales
P100030073,C100030073,EDM PLRNC CTS,Edmonton - Plumbing New Const- Ops
P100030074,C100030074,EDM EW CTA,Edmonton - In-House Ext.Warr - Sales
P100030075,C100030075,EDM DWHR CAP,Edmonton - DWHR - Cap
P100030077,C100030077,EDM COM PLCOD CTA,Edmonton - Comm Plumbing COD Sales
P100030078,C100030078,EDM COM PLCOD CTS,Edmonton - Comm Plumbing COD Ops
P100030079,C100030079,EDM RSPEC CAP,Edmonton Rent Special Cap
P100030080,C100030080,EDM CPPSALE CTS,Edmonton - Hem.-R-Ser-HPP - Ops
P100030081,C100030081,EDM CPPSALE CTA,Edmonton - Hem.-R-Ser-HPP - Sales
P100030082,C100030082,EDM RELEXP CTS,Edmonton - Reliance Express - Ops
P100030083,C100030083,EDM AH CAP,Edmonton - Rent Air Handler - Cap
P100031000,C100031000,WPG FSM AR / OH,Winnipeg - FSM AR / OH only
P100031001,C100031001,WPG ELECCOD CTA,Winnipeg - Res Elec COD - Sales
P100031002,C100031002,WPG ELECCOD CTS,Winnipeg - Res Elec COD -Ops
P100031003,C100031003,WPG WPSALES CTA,Winnipeg Res Water Pur Sales - Sales
P100031004,C100031004,WPG WPSALES CTS,Winnipeg Res Water Pur Sales - Ops
P100031005,C100031005,WPG WP CTA,Winnipeg Res Water Pur Rental - RMR
P100031006,C100031006,WPG WP CTS,Winnipeg Res Water Pur Rental - Ops
P100031007,C100031007,WPG WHSALES CTA,Winnipeg - Res WH Sales - Sales
P100031008,C100031008,WPG WHSALES CTS,Winnipeg - Res WH Sales - Ops
P100031009,C100031009,WPG HVACCOD CTA,Winnipeg - HVAC COD - Sales
P100031010,C100031010,WPG HVACCOD CTS,Winnipeg - HVAC COD - Ops
P100031011,C100031011,WPG VRPL CTA,Winnipeg - Vent Replacement - Sales
P100031012,C100031012,WPG VRPL CTS,Winnipeg - Vent Replacement - Ops
P100031013,C100031013,WPG FSM WH,Winnipeg - FSM WH inventory only
P100031014,C100031014,WPG RWH CTA,Winnipeg - Residential WH - RMR
P100031015,C100031015,WPG RWH CTS,Winnipeg - Residential WH - Ops
P100031016,C100031016,WPG HVACCPP CTA,Winnipeg - Residential HVAC CPP - RMR
P100031017,C100031017,WPG HVACCPP CTS,Winnipeg - Residential HVAC CPP - Ops
P100031018,C100031018,WPG RHVAC CTA,Winnipeg - Residential Rental HVAC - RMR
P100031019,C100031019,WPG RHVAC CTS,Winnipeg - Residential Rental HVAC - Ops
P100031020,C100031020,WPG EW CTS,Winnipeg - In-House Ext.Warr - Ops
P100031021,C100031021,WPG FSM HVAC,Winnipeg - FSM HVAC inventory only
P100031022,C100031022,WPG HVACSALE CTA,Winnipeg - Res HVAC Sales - Sales
P100031023,C100031023,WPG HVACSALE CTS,Winnipeg - Residential HVAC Sales - Ops
P100031024,C100031024,WPG RNC CTA,Winnipeg - New Home Const - Sales
P100031025,C100031025,WPG RNC CTS,Winnipeg - New Home Const - Ops
P100031026,C100031026,WPG RFURN CAP,Winnipeg - Rent Furnace Cap Costs
P100031027,C100031027,WPG TANKLESS CAP,Winnipeg - Tankless Waterheaters
P100031028,C100031028,WPG ELECCPP CTA,Winnipeg - Res Electric CPP - RMR
P100031029,C100031029,WPG ELECCPP CTS,Winnipeg - Res Electric CPP - Ops
P100031030,C100031030,WPG EWH CTA,Winnipeg - Electric WH - RMR
P100031031,C100031031,WPG EWH CTS,Winnipeg - Electric WH Ops     
P100031032,C100031032,WPG RHVACINSTEXP,Winnipeg - RHVAC Install Expense
P100031033,C100031033,WPG SHSALE CTS,Winnipeg - SH Sales - Ops
P100031034,C100031034,WPG COM WHSALE CTS,Winnipeg - Comm WH Sales Ops
P100031035,C100031035,WPG COM HVACCOD CTS,Winnipeg - Comm HVAC COD Ops
P100031036,C100031036,WPG COMM CTA,Winnipeg - Rental Commercial - RMR
P100031037,C100031037,WPG COMM CTS,Winnipeg - Rental Commercial - Ops
P100031038,C100031038,WPG COM RHVAC CTA,Winnipeg - Comm RHVAC RMR
P100031039,C100031039,WPG COMHVACSALE CTA,Winnipeg - Comm HVAC Sales
P100031040,C100031040,WPG COMHVACSALE CTS,Winnipeg - Comm HVAC Sales Ops
P100031041,C100031041,WPG PLCOD CTA,Winnipeg - Res Plumb COD Sales
P100031042,C100031042,WPG PLCOD CTS,Winnipeg - Res Plumb COD Ops
P100031043,C100031043,WPG PLCPP CTA,Winnipeg - Res Plumb CPP RMR
P100031044,C100031044,WPG PLCPP CTS,Winnipeg - Res Plumb CPP Ops
P100031045,C100031045,WPG RELEXP CTA,Winnipeg - Reliance Express - RMR
P100031046,C100031046,WPG RELEXP CTS,Winnipeg - Reliance Express - Ops
P100031047,C100031047,WPG GEOTHERM CTA,Winnipeg - Geothermal - Sales
P100031048,C100031048,WPG GEOTERM CTS,Winnipeg - Geothermal - Ops
P100031049,C100031049,WPG RWH CAP,Winnipeg - Rent WH Capital Install Cost
P100031050,C100031050,WPG EWH CAP,Winnipeg - EWH - Cap
P100031051,C100031051,WPG WS CAP,Winnipeg - RW Softener Cap Insta
P100031052,C100031052,WPG SH CAP,Winnipeg - SH - Cap
P100031053,C100031053,WPG SHCOD CTA,Winnipeg - SH COD - Sales
P100031054,C100031054,WPG SHCOD CTS,Winnipeg - SH COD - Ops
